feature,group,mean_benign,median_benign,std_benign,iqr_benign,mean_phish,median_phish,std_phish,iqr_phish,cohens_d,ks_stat,single_feature_auc
entropy_host,C,3.2862637408341886,3.321928094887362,0.3698704519283621,0.46507587421236396,3.327960059963847,3.323231428797621,0.5817093783578389,0.8476906247681999,0.08554101608803569,0.20464895430902383,0.5215571219584052
count_dash,B,1.40493816502277,0.0,2.9989118457178687,1.0,0.8090561802602897,0.0,1.4075570481739845,1.0,-0.25437501588916195,0.09699350355038516,0.519319229114765
num_tokens,D,7.658429197332355,6.0,5.0009782576929,7.0,7.798717976388319,5.0,6.13719301518392,4.0,0.02506030468269055,0.23952690307124508,0.5067563896676969
count_at,B,0.0012949733451319795,0.0,0.04047990383555654,0.0,0.009237476528608119,0.0,0.10409424049707604,0.0,0.10056822239357929,0.007769840070791845,0.503884598618836
has_fragment,A,0.00012949733451319794,0.0,0.011378952717783474,0.0,0.007834588738048475,0.0,0.0881657981155625,0.0,0.12257465333777384,0.007705091403535258,0.5038525457017676
etld1_missing,A,6.474866725659897e-05,0.0,0.008046395147312082,0.0,0.0028489413592903546,0.0,0.053299389231225534,0.0,0.07304558578186188,0.0027841926920337823,0.5013920963460169
is_ip_host,A,6.474866725659897e-05,0.0,0.008046395147312082,0.0,0.0028489413592903546,0.0,0.053299389231225534,0.0,0.07304558578186188,0.0027841926920337823,0.5013920963460169
num_slashes,A,3.924999460427773,4.0,1.8119594754868213,3.0,3.883322901603609,3.0,1.6329573237997634,1.0,-0.024163115126751126,0.22502320160576694,0.5009747814289252
action_token_present,D,0.005697882718580709,0.0,0.07526896339864134,0.0,0.006561198282002029,0.0,0.08073505409118324,0.0,0.011060956251222916,0.0008633155634213407,0.5004316577817106
has_port,A,0.0001942460017697969,0.0,0.013935862738294799,0.0,0.0004100748926251268,0.0,0.02024615349165281,0.0,0.01241824088376912,0.00021582889085536294,0.5001079144454277
brand_in_path,E,0.01197850344247081,0.0,0.10878887304200519,0.0,0.0058489629421794405,0.0,0.07625452494560865,0.0,-0.06524822275758739,0.006129540500291353,0.4969352297498543
brand_in_subdomain,E,0.0076835085144497444,0.0,0.08731822382159479,0.0,0.0011438931215332485,0.0,0.03380213943021591,0.0,-0.0987724001926946,0.006539615392916476,0.49673019230354176
deep_subdomain,E,0.013985712127425377,0.0,0.11743130751087703,0.0,0.004489240929790862,0.0,0.06685123518428925,0.0,-0.09938748435174032,0.009496471197634526,0.49525176440118274
auth_token_present,D,0.03444629098051065,0.0,0.18237254184278026,0.0,0.021474974640105324,0.0,0.14496137452546512,0.0,-0.07874088121421789,0.012971316340405381,0.4935143418297973
brand_mismatch,E,0.018820279282584767,0.0,0.13588994212343414,0.0,0.003992834480823603,0.0,0.06306260186221585,0.0,-0.13997048929187694,0.014827444801761236,0.49258627759911944
count_percent,B,0.41367923510241084,0.0,4.370274944518572,0.0,0.10111583536572205,0.0,1.4433621327462858,0.0,-0.09604147643462044,0.018647616169900516,0.49061417808347874
path_len,A,24.392700666911274,17.0,29.313156215320273,36.0,23.393520816696523,7.0,36.54751017760796,22.0,-0.030160499773890195,0.22502320160576694,0.4845475937708463
count_underscore,B,0.36921848358621284,0.0,1.192017089553916,0.0,0.2509658342865776,0.0,1.057186525064365,0.0,-0.10496112885253225,0.04036000258994665,0.47935537290069413
entropy_path,C,2.5077402017740824,3.456564762130954,1.8524767498533814,4.041625614369223,2.4985759239657837,2.807354922057604,1.9415827919270152,3.873140679513133,-0.004829472221880987,0.18986467528543366,0.470850651597241
alpha_ratio,B,0.7573232919559102,0.7777777777777778,0.08402613023803818,0.0935672514619883,0.7392143602380514,0.7647058823529411,0.09259110063972704,0.09629629629629632,-0.20482124367291982,0.12604407225951264,0.4363528505851721
symbol_ratio,B,0.1908253621720065,0.1855670103092783,0.04079570452120521,0.046932006633499224,0.18003004602271525,0.1764705882352941,0.053791706086774235,0.09090909090909091,-0.22613421334654077,0.22021021733969307,0.4308827832660248
